LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
0.1	0.1	0.0	0	0	401	20	30	0.0	1.0	0.89	0.0	0.0	0.0	1.0
0.1	0.1	0.1	0	1	400	20	30	0.0	1.0	0.89	0.0	0.0	0.0	1.0
0.1	0.1	0.2	0	1	400	20	30	0.0	1.0	0.89	0.0	0.0	0.0	1.0
0.1	0.1	0.3	0	1	400	20	30	0.0	1.0	0.89	0.0	0.0	0.0	1.0
0.1	0.1	0.4	0	3	398	20	30	0.0	0.99	0.88	0.0	0.0	0.0	1.0
0.1	0.1	0.5	0	3	398	20	30	0.0	0.99	0.88	0.0	0.0	0.0	1.0
0.1	0.1	0.6	0	5	396	20	30	0.0	0.99	0.88	0.0	0.0	0.0	1.0
0.1	0.1	0.7	0	6	395	20	30	0.0	0.99	0.88	0.0	0.0	0.0	1.0
0.1	0.1	0.8	1	7	394	20	29	0.02	0.98	0.88	0.12	0.02	0.03	0.88
0.1	0.1	0.9	1	7	394	20	29	0.02	0.98	0.88	0.12	0.02	0.03	0.88
0.1	0.1	1.0	3	8	393	20	27	0.06	0.98	0.88	0.27	0.06	0.1	0.73
0.1	0.2	0.0	1	3	398	20	29	0.02	0.99	0.88	0.25	0.02	0.04	0.75
0.1	0.2	0.1	2	4	397	20	28	0.04	0.99	0.88	0.33	0.04	0.07	0.67
0.1	0.2	0.2	2	5	396	20	28	0.04	0.99	0.88	0.29	0.04	0.07	0.71
0.1	0.2	0.3	2	6	395	20	28	0.04	0.99	0.88	0.25	0.04	0.07	0.75
0.1	0.2	0.4	2	6	395	20	28	0.04	0.99	0.88	0.25	0.04	0.07	0.75
0.1	0.2	0.5	3	6	395	20	27	0.06	0.99	0.88	0.33	0.06	0.1	0.67
0.1	0.2	0.6	3	7	394	20	27	0.06	0.98	0.88	0.3	0.06	0.1	0.7
0.1	0.2	0.7	4	8	393	20	26	0.08	0.98	0.88	0.33	0.08	0.13	0.67
0.1	0.2	0.8	7	10	391	20	23	0.14	0.98	0.88	0.41	0.14	0.21	0.59
0.1	0.2	0.9	10	11	390	20	20	0.2	0.97	0.89	0.48	0.2	0.28	0.52
0.1	0.2	1.0	11	12	389	20	19	0.22	0.97	0.89	0.48	0.22	0.3	0.52
0.1	0.3	0.0	2	6	395	20	28	0.04	0.99	0.88	0.25	0.04	0.07	0.75
0.1	0.3	0.1	3	6	395	20	27	0.06	0.99	0.88	0.33	0.06	0.1	0.67
0.1	0.3	0.2	3	6	395	20	27	0.06	0.99	0.88	0.33	0.06	0.1	0.67
0.1	0.3	0.3	4	6	395	20	26	0.08	0.99	0.88	0.4	0.08	0.13	0.6
0.1	0.3	0.4	5	9	392	20	25	0.1	0.98	0.88	0.36	0.1	0.16	0.64
0.1	0.3	0.5	8	11	390	20	22	0.16	0.97	0.88	0.42	0.16	0.23	0.58
0.1	0.3	0.6	12	12	389	20	18	0.24	0.97	0.89	0.5	0.24	0.32	0.5
0.1	0.3	0.7	12	13	388	20	18	0.24	0.97	0.89	0.48	0.24	0.32	0.52
0.1	0.3	0.8	14	13	388	20	16	0.28	0.97	0.89	0.52	0.28	0.36	0.48
0.1	0.3	0.9	16	14	387	20	14	0.32	0.97	0.89	0.53	0.32	0.4	0.47
0.1	0.3	1.0	21	14	387	20	9	0.42	0.97	0.9	0.6	0.42	0.49	0.4
0.1	0.4	0.0	7	7	394	20	23	0.14	0.98	0.89	0.5	0.14	0.22	0.5
0.1	0.4	0.1	7	11	390	20	23	0.14	0.97	0.88	0.39	0.14	0.21	0.61
0.1	0.4	0.2	8	13	388	20	22	0.16	0.97	0.88	0.38	0.16	0.23	0.62
0.1	0.4	0.3	9	13	388	20	21	0.18	0.97	0.88	0.41	0.18	0.25	0.59
0.1	0.4	0.4	12	13	388	20	18	0.24	0.97	0.89	0.48	0.24	0.32	0.52
0.1	0.4	0.5	14	13	388	20	16	0.28	0.97	0.89	0.52	0.28	0.36	0.48
0.1	0.4	0.6	16	14	387	20	14	0.32	0.97	0.89	0.53	0.32	0.4	0.47
0.1	0.4	0.7	21	14	387	20	9	0.42	0.97	0.9	0.6	0.42	0.49	0.4
0.1	0.4	0.8	22	15	386	20	8	0.44	0.96	0.9	0.59	0.44	0.5	0.41
0.1	0.4	0.9	25	17	384	20	5	0.5	0.96	0.91	0.6	0.5	0.55	0.4
0.1	0.4	1.0	26	18	383	20	4	0.52	0.96	0.91	0.59	0.52	0.55	0.41
0.1	0.5	0.0	9	13	388	20	21	0.18	0.97	0.88	0.41	0.18	0.25	0.59
0.1	0.5	0.1	13	13	388	20	17	0.26	0.97	0.89	0.5	0.26	0.34	0.5
0.1	0.5	0.2	14	13	388	20	16	0.28	0.97	0.89	0.52	0.28	0.36	0.48
0.1	0.5	0.3	15	14	387	20	15	0.3	0.97	0.89	0.52	0.3	0.38	0.48
0.1	0.5	0.4	20	15	386	20	10	0.4	0.96	0.9	0.57	0.4	0.47	0.43
0.1	0.5	0.5	22	15	386	20	8	0.44	0.96	0.9	0.59	0.44	0.5	0.41
0.1	0.5	0.6	24	18	383	20	6	0.48	0.96	0.9	0.57	0.48	0.52	0.43
0.1	0.5	0.7	26	18	383	20	4	0.52	0.96	0.91	0.59	0.52	0.55	0.41
0.1	0.5	0.8	27	19	382	20	3	0.54	0.95	0.91	0.59	0.54	0.56	0.41
0.1	0.5	0.9	27	20	381	20	3	0.54	0.95	0.9	0.57	0.54	0.55	0.43
0.1	0.5	1.0	27	23	378	20	3	0.54	0.94	0.9	0.54	0.54	0.54	0.46
0.1	0.6	0.0	15	15	386	20	15	0.3	0.96	0.89	0.5	0.3	0.37	0.5
0.1	0.6	0.1	19	15	386	20	11	0.38	0.96	0.9	0.56	0.38	0.45	0.44
0.1	0.6	0.2	21	15	386	20	9	0.42	0.96	0.9	0.58	0.42	0.49	0.42
0.1	0.6	0.3	22	17	384	20	8	0.44	0.96	0.9	0.56	0.44	0.49	0.44
0.1	0.6	0.4	25	18	383	20	5	0.5	0.96	0.9	0.58	0.5	0.54	0.42
0.1	0.6	0.5	26	19	382	20	4	0.52	0.95	0.9	0.58	0.52	0.55	0.42
0.1	0.6	0.6	27	20	381	20	3	0.54	0.95	0.9	0.57	0.54	0.55	0.43
0.1	0.6	0.7	27	23	378	20	3	0.54	0.94	0.9	0.54	0.54	0.54	0.46
0.1	0.6	0.8	27	24	377	20	3	0.54	0.94	0.9	0.53	0.54	0.53	0.47
0.1	0.6	0.9	28	28	373	20	2	0.56	0.93	0.89	0.5	0.56	0.53	0.5
0.1	0.6	1.0	28	31	370	20	2	0.56	0.92	0.88	0.47	0.56	0.51	0.53
0.1	0.7	0.0	22	17	384	20	8	0.44	0.96	0.9	0.56	0.44	0.49	0.44
0.1	0.7	0.1	24	20	381	20	6	0.48	0.95	0.9	0.55	0.48	0.51	0.45
0.1	0.7	0.2	26	20	381	20	4	0.52	0.95	0.9	0.57	0.52	0.54	0.43
0.1	0.7	0.3	27	20	381	20	3	0.54	0.95	0.9	0.57	0.54	0.55	0.43
0.1	0.7	0.4	27	24	377	20	3	0.54	0.94	0.9	0.53	0.54	0.53	0.47
0.1	0.7	0.5	27	26	375	20	3	0.54	0.94	0.89	0.51	0.54	0.52	0.49
0.1	0.7	0.6	28	27	374	20	2	0.56	0.93	0.89	0.51	0.56	0.53	0.49
0.1	0.7	0.7	28	30	371	20	2	0.56	0.93	0.88	0.48	0.56	0.52	0.52
0.1	0.7	0.8	28	32	369	20	2	0.56	0.92	0.88	0.47	0.56	0.51	0.53
0.1	0.7	0.9	28	34	367	20	2	0.56	0.92	0.88	0.45	0.56	0.5	0.55
