LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
0.1	0.1	0.0	6	0	490	5	49	0.1	1.0	0.902	1.0	0.1	0.182	0.0
0.1	0.1	0.1	3	0	490	5	52	0.05	1.0	0.896	1.0	0.05	0.095	0.0
0.1	0.1	0.2	2	0	490	5	53	0.033	1.0	0.895	1.0	0.033	0.064	0.0
0.1	0.1	0.3	1	0	490	5	54	0.017	1.0	0.893	1.0	0.017	0.033	0.0
0.1	0.1	0.4	1	0	490	5	54	0.017	1.0	0.893	1.0	0.017	0.033	0.0
0.1	0.1	0.5	0	0	490	5	55	0.0	1.0	0.891	0.0	0.0	0.0	1.0
0.1	0.1	0.6	0	0	490	5	55	0.0	1.0	0.891	0.0	0.0	0.0	1.0
0.1	0.1	0.7	0	0	490	5	55	0.0	1.0	0.891	0.0	0.0	0.0	1.0
0.1	0.1	0.8	0	0	490	5	55	0.0	1.0	0.891	0.0	0.0	0.0	1.0
0.1	0.1	0.9	0	0	490	5	55	0.0	1.0	0.891	0.0	0.0	0.0	1.0
0.1	0.1	1.0	0	0	490	5	55	0.0	1.0	0.891	0.0	0.0	0.0	1.0
0.1	0.2	0.0	17	2	488	5	38	0.283	0.996	0.918	0.895	0.283	0.43	0.105
0.1	0.2	0.1	13	2	488	5	42	0.217	0.996	0.911	0.867	0.217	0.347	0.133
0.1	0.2	0.2	10	1	489	5	45	0.167	0.998	0.907	0.909	0.167	0.282	0.091
0.1	0.2	0.3	7	0	490	5	48	0.117	1.0	0.904	1.0	0.117	0.209	0.0
0.1	0.2	0.4	4	0	490	5	51	0.067	1.0	0.898	1.0	0.067	0.126	0.0
0.1	0.2	0.5	2	0	490	5	53	0.033	1.0	0.895	1.0	0.033	0.064	0.0
0.1	0.2	0.6	1	0	490	5	54	0.017	1.0	0.893	1.0	0.017	0.033	0.0
0.1	0.2	0.7	1	0	490	5	54	0.017	1.0	0.893	1.0	0.017	0.033	0.0
0.1	0.2	0.8	1	0	490	5	54	0.017	1.0	0.893	1.0	0.017	0.033	0.0
0.1	0.2	0.9	1	0	490	5	54	0.017	1.0	0.893	1.0	0.017	0.033	0.0
0.1	0.2	1.0	1	0	490	5	54	0.017	1.0	0.893	1.0	0.017	0.033	0.0
0.1	0.3	0.0	28	4	486	5	27	0.467	0.992	0.935	0.875	0.467	0.609	0.125
0.1	0.3	0.1	24	3	487	5	31	0.4	0.994	0.929	0.889	0.4	0.552	0.111
0.1	0.3	0.2	22	2	488	5	33	0.367	0.996	0.927	0.917	0.367	0.524	0.083
0.1	0.3	0.3	19	2	488	5	36	0.317	0.996	0.922	0.905	0.317	0.47	0.095
0.1	0.3	0.4	13	2	488	5	42	0.217	0.996	0.911	0.867	0.217	0.347	0.133
0.1	0.3	0.5	10	1	489	5	45	0.167	0.998	0.907	0.909	0.167	0.282	0.091
0.1	0.3	0.6	9	1	489	5	46	0.15	0.998	0.905	0.9	0.15	0.257	0.1
0.1	0.3	0.7	7	0	490	5	48	0.117	1.0	0.904	1.0	0.117	0.209	0.0
0.1	0.3	0.8	3	0	490	5	52	0.05	1.0	0.896	1.0	0.05	0.095	0.0
0.1	0.3	0.9	3	0	490	5	52	0.05	1.0	0.896	1.0	0.05	0.095	0.0
0.1	0.3	1.0	3	0	490	5	52	0.05	1.0	0.896	1.0	0.05	0.095	0.0
0.1	0.4	0.0	30	8	482	5	25	0.5	0.984	0.931	0.789	0.5	0.612	0.211
0.1	0.4	0.1	30	7	483	5	25	0.5	0.986	0.933	0.811	0.5	0.619	0.189
0.1	0.4	0.2	28	7	483	5	27	0.467	0.986	0.929	0.8	0.467	0.59	0.2
0.1	0.4	0.3	28	3	487	5	27	0.467	0.994	0.936	0.903	0.467	0.616	0.097
0.1	0.4	0.4	23	3	487	5	32	0.383	0.994	0.927	0.885	0.383	0.535	0.115
0.1	0.4	0.5	21	2	488	5	34	0.35	0.996	0.925	0.913	0.35	0.506	0.087
0.1	0.4	0.6	18	2	488	5	37	0.3	0.996	0.92	0.9	0.3	0.45	0.1
0.1	0.4	0.7	13	2	488	5	42	0.217	0.996	0.911	0.867	0.217	0.347	0.133
0.1	0.4	0.8	10	1	489	5	45	0.167	0.998	0.907	0.909	0.167	0.282	0.091
0.1	0.4	0.9	9	1	489	5	46	0.15	0.998	0.905	0.9	0.15	0.257	0.1
0.1	0.4	1.0	7	1	489	5	48	0.117	0.998	0.902	0.875	0.117	0.206	0.125
0.1	0.5	0.0	33	11	479	5	22	0.55	0.978	0.931	0.75	0.55	0.635	0.25
0.1	0.5	0.1	32	10	480	5	23	0.533	0.98	0.931	0.762	0.533	0.627	0.238
0.1	0.5	0.2	30	10	480	5	25	0.5	0.98	0.927	0.75	0.5	0.6	0.25
0.1	0.5	0.3	30	9	481	5	25	0.5	0.982	0.929	0.769	0.5	0.606	0.231
0.1	0.5	0.4	29	7	483	5	26	0.483	0.986	0.931	0.806	0.483	0.604	0.194
0.1	0.5	0.5	28	5	485	5	27	0.467	0.99	0.933	0.848	0.467	0.602	0.152
0.1	0.5	0.6	27	4	486	5	28	0.45	0.992	0.933	0.871	0.45	0.593	0.129
0.1	0.5	0.7	23	3	487	5	32	0.383	0.994	0.927	0.885	0.383	0.535	0.115
0.1	0.5	0.8	20	3	487	5	35	0.333	0.994	0.922	0.87	0.333	0.482	0.13
0.1	0.5	0.9	16	2	488	5	39	0.267	0.996	0.916	0.889	0.267	0.411	0.111
0.1	0.5	1.0	12	2	488	5	43	0.2	0.996	0.909	0.857	0.2	0.324	0.143
0.1	0.6	0.0	35	20	470	5	20	0.583	0.959	0.918	0.636	0.583	0.608	0.364
0.1	0.6	0.1	34	17	473	5	21	0.567	0.965	0.922	0.667	0.567	0.613	0.333
0.1	0.6	0.2	34	15	475	5	21	0.567	0.969	0.925	0.694	0.567	0.624	0.306
0.1	0.6	0.3	32	12	478	5	23	0.533	0.976	0.927	0.727	0.533	0.615	0.273
0.1	0.6	0.4	30	11	479	5	25	0.5	0.978	0.925	0.732	0.5	0.594	0.268
0.1	0.6	0.5	30	11	479	5	25	0.5	0.978	0.925	0.732	0.5	0.594	0.268
0.1	0.6	0.6	30	10	480	5	25	0.5	0.98	0.927	0.75	0.5	0.6	0.25
0.1	0.6	0.7	28	6	484	5	27	0.467	0.988	0.931	0.824	0.467	0.596	0.176
0.1	0.6	0.8	28	5	485	5	27	0.467	0.99	0.933	0.848	0.467	0.602	0.152
0.1	0.6	0.9	25	4	486	5	30	0.417	0.992	0.929	0.862	0.417	0.562	0.138
0.1	0.6	1.0	22	4	486	5	33	0.367	0.992	0.924	0.846	0.367	0.512	0.154
