LLOD	score	w_comp	TP	FP	TN	FN_u	FN_d	sens.	spec.	acc.	prec.	recall	F1	FDR
0.75	0.6	0.5	46	46	271	0	6	0.885	0.855	0.859	0.5	0.885	0.639	0.5
0.75	0.6	0.4	47	49	268	0	5	0.904	0.845	0.854	0.49	0.904	0.636	0.51
0.75	0.7	0.7	47	50	267	0	5	0.904	0.842	0.851	0.485	0.904	0.631	0.515
0.75	0.6	0.0	49	56	261	0	3	0.942	0.823	0.84	0.467	0.942	0.624	0.533
0.75	0.6	0.1	49	51	266	0	3	0.942	0.839	0.854	0.49	0.942	0.645	0.51
0.75	0.6	0.2	48	51	266	0	4	0.923	0.839	0.851	0.485	0.923	0.636	0.515
0.75	0.7	0.3	49	55	262	0	3	0.942	0.826	0.843	0.471	0.942	0.628	0.529
0.75	0.7	0.4	48	54	263	0	4	0.923	0.83	0.843	0.471	0.923	0.624	0.529
0.75	0.7	0.5	47	52	265	0	5	0.904	0.836	0.846	0.475	0.904	0.623	0.525
0.75	0.8	0.8	47	54	263	0	5	0.904	0.83	0.84	0.465	0.904	0.614	0.535
0.75	0.9	1.0	48	56	261	0	4	0.923	0.823	0.837	0.462	0.923	0.616	0.538
0.75	0.5	0.2	46	46	271	0	6	0.885	0.855	0.859	0.5	0.885	0.639	0.5
0.75	0.5	0.3	46	46	271	0	6	0.885	0.855	0.859	0.5	0.885	0.639	0.5
0.75	0.5	0.0	47	47	270	0	5	0.904	0.852	0.859	0.5	0.904	0.644	0.5
0.75	0.5	0.1	47	46	271	0	5	0.904	0.855	0.862	0.505	0.904	0.648	0.495
0.75	0.6	0.3	47	50	267	0	5	0.904	0.842	0.851	0.485	0.904	0.631	0.515
0.75	0.8	0.7	48	55	262	0	4	0.923	0.826	0.84	0.466	0.923	0.619	0.534
0.75	0.4	0.0	46	46	271	0	6	0.885	0.855	0.859	0.5	0.885	0.639	0.5
