ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
8.0_64.0	1.5	0.0	>=0.1_0.125	265	2887	10276	35	11	24	0.883	0.781	0.783	0.664	0.084	0.883	0.153	0.916	0.685
8.0_64.0	1.5	0.1	>=0.1_0.125	265	2842	10321	35	11	24	0.883	0.784	0.786	0.667	0.085	0.883	0.155	0.915	0.688
8.0_64.0	1.5	0.2	>=0.1_0.125	263	2783	10380	37	11	26	0.877	0.789	0.791	0.666	0.086	0.877	0.157	0.914	0.688
8.0_64.0	1.4	0.0	>=0.1_0.125	262	2696	10467	38	11	27	0.873	0.795	0.797	0.668	0.089	0.873	0.162	0.911	0.69
8.0_64.0	1.5	0.3	>=0.1_0.125	261	2716	10447	39	11	28	0.87	0.794	0.795	0.664	0.088	0.87	0.16	0.912	0.694
8.0_64.0	1.4	0.1	>=0.1_0.125	259	2636	10527	41	11	30	0.863	0.8	0.801	0.663	0.089	0.863	0.161	0.911	0.689
8.0_64.0	1.5	0.4	>=0.1_0.125	259	2661	10502	41	11	30	0.863	0.798	0.799	0.661	0.089	0.863	0.161	0.911	0.697
8.0_64.0	1.4	0.2	>=0.1_0.125	258	2567	10596	42	11	31	0.86	0.805	0.806	0.665	0.091	0.86	0.165	0.909	0.703
8.0_64.0	1.5	0.5	>=0.1_0.125	257	2574	10589	43	11	32	0.857	0.804	0.806	0.661	0.091	0.857	0.165	0.909	0.706
8.0_64.0	1.3	0.0	>=0.1_0.125	256	2460	10703	44	11	33	0.853	0.813	0.814	0.666	0.094	0.853	0.169	0.906	0.701
8.0_64.0	1.5	0.0	>=0.25    	231	706	2735	19	4	15	0.924	0.795	0.804	0.719	0.247	0.924	0.39	0.753	0.731
8.0_64.0	1.5	0.1	>=0.25    	231	696	2745	19	4	15	0.924	0.798	0.806	0.722	0.249	0.924	0.392	0.751	0.733
8.0_64.0	1.5	0.2	>=0.25    	229	669	2772	21	4	17	0.916	0.806	0.813	0.722	0.255	0.916	0.399	0.745	0.733
8.0_64.0	1.4	0.0	>=0.25    	228	648	2793	22	4	18	0.912	0.812	0.818	0.724	0.26	0.912	0.405	0.74	0.734
8.0_64.0	1.5	0.3	>=0.25    	228	641	2800	22	4	18	0.912	0.814	0.82	0.726	0.262	0.912	0.407	0.738	0.744
8.0_64.0	1.4	0.1	>=0.25    	226	620	2821	24	4	20	0.904	0.82	0.826	0.724	0.267	0.904	0.412	0.733	0.736
8.0_64.0	1.5	0.4	>=0.25    	226	614	2827	24	4	20	0.904	0.822	0.827	0.726	0.269	0.904	0.415	0.731	0.746
8.0_64.0	1.4	0.2	>=0.25    	225	585	2856	25	4	21	0.9	0.83	0.835	0.73	0.278	0.9	0.425	0.722	0.752
8.0_64.0	1.5	0.5	>=0.25    	224	572	2869	26	4	22	0.896	0.834	0.838	0.73	0.281	0.896	0.428	0.719	0.756
8.0_64.0	1.3	0.0	>=0.25    	223	558	2883	27	4	23	0.892	0.838	0.842	0.73	0.286	0.892	0.433	0.714	0.749
8.0_64.0	1.5	0.0	>=0.375   	192	176	688	8	1	7	0.96	0.796	0.827	0.756	0.522	0.96	0.676	0.478	0.77
8.0_64.0	1.5	0.1	>=0.375   	192	173	691	8	1	7	0.96	0.8	0.83	0.76	0.526	0.96	0.68	0.474	0.772
8.0_64.0	1.5	0.2	>=0.375   	190	165	699	10	1	9	0.95	0.809	0.836	0.759	0.535	0.95	0.685	0.465	0.771
8.0_64.0	1.4	0.0	>=0.375   	189	161	703	11	1	10	0.945	0.814	0.838	0.759	0.54	0.945	0.687	0.46	0.77
